Date,Open,High,Low,Close
"2017-12-16 00:00:00",17601.94,19521.78,17419.43,19343.04
"2017-12-17 00:00:00",19343.04,19783.21,18791.76,19086.64
"2017-12-18 00:00:00",19086.64,19227.08,18094.19,18960.52
"2017-12-19 00:00:00",18960.52,19026.21,16837.77,17608.35
"2017-12-20 00:00:00",17608.35,17822.57,15577.74,16454.72
"2017-12-21 00:00:00",16454.72,17301.21,15081.5,15561.05
"2017-12-22 00:00:00",15561.05,15690.81,10834.94,13857.14
"2017-12-23 00:00:00",13857.14,15704.35,13583.38,14548.71
"2017-12-24 00:00:00",14548.71,14610.14,12508.42,13975.44
"2017-12-25 00:00:00",13975.44,14572.98,13196.83,13917.03
"2017-12-26 00:00:00",13917.03,16079.32,13851.13,15745.26
"2017-12-27 00:00:00",15745.26,16477.36,14533.23,15378.28
"2017-12-28 00:00:00",15378.28,15470.43,13498.78,14428.76
"2017-12-29 00:00:00",14428.76,15076.06,13982.93,14427.87
"2017-12-30 00:00:00",14427.87,14486.45,12182.52,12629.81
"2017-12-31 00:00:00",12629.81,14213.44,12496.69,13860.14
"2018-01-01 00:00:00",13860.14,13887.2,14169.87,13412.44
"2018-01-02 00:00:00",13412.44,15216.76,14169.87,14740.76
"2018-01-03 00:00:00",14740.76,15393.97,14169.87,15134.65
"2018-01-04 00:00:00",15134.65,15394.99,14169.87,15155.23
"2018-01-05 00:00:00",15155.23,17118.36,14169.87,16937.17
"2018-01-06 00:00:00",16937.17,17211.92,14169.87,17135.84
"2018-01-07 00:00:00",17135.84,17144.85,14169.87,16178.49
"2018-01-08 00:00:00",16178.49,16269.69,14169.87,14970.36
"2018-01-09 00:00:00",14970.36,15360.13,14169.87,14439.47
"2018-01-10 00:00:00",14439.47,14890.72,13455.7,14890.72
"2018-01-11 00:00:00",14890.72,14942.61,12836.91,13287.26
"2018-01-12 00:00:00",13287.26,14095.06,12878.6,13812.71
"2018-01-13 00:00:00",13812.71,14536.54,13810.84,14188.78
"2018-01-14 00:00:00",14188.78,14352.84,13051.59,13619.03
"2018-01-15 00:00:00",13619.03,14307.53,13401.24,13585.9
"2018-01-16 00:00:00",13585.9,13601.43,10063.12,11348.02
"2018-01-17 00:00:00",11348.02,11751.26,9199.59,11141.25
"2018-01-18 00:00:00",11141.25,12045.09,10663.94,11250.65
"2018-01-19 00:00:00",11250.65,11955.44,10988.79,11514.92
"2018-01-20 00:00:00",11514.92,13007.25,11498.04,12759.64
"2018-01-21 00:00:00",12759.64,12759.64,11096.05,11522.86
"2018-01-22 00:00:00",11522.86,11868.71,10050.79,10772.15
"2018-01-23 00:00:00",10772.15,11358.34,9972.29,10839.83
"2018-01-24 00:00:00",10839.83,11474.21,10497.15,11399.52
"2018-01-25 00:00:00",11399.52,11711,10889.04,11137.24
